Product ID,Product,Category,Brands,Provider,Selling Price,MRP Price,Discount,Rating,Bought Count,Delivery Date,Product Image URL
b27b258c-1d0f-48c8-8ebb-d7a6e95290ec,RAJIBNEW Aerpods 25H Play Type-C Fas Charge SERVICE WE1...,Earbuds,Unknown,Flipkart,₹ 495.00,₹ 1000.00,0% off,0.0,0,Not specified,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/e/p/y/aerpods-25h-play-type-c-fas-charge-service-we13-gwalbros-original-imahf89ahhayvhuh.jpeg?q=70
4d96bf3c-9aa2-4624-8ebb-d22076c6dc56,"GOBOULT Raven 70Hrs Battery, App Support, Dual Pairing,...",Earbuds,Unknown,Flipkart,₹ 1099.00,₹ 4999.00,0% off,4.1,24843,Not specified,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/a/r/h/-original-imahj8wvjynf8bmy.jpeg?q=70
ccf66e22-b2fe-4e4e-b3a8-0eb9e51db0f0,Niklakk Wireless Compact TWS White Bluetooth Earbuds Wi...,Earbuds,Unknown,Flipkart,₹ 455.00,₹ 1999.00,0% off,3.9,8,Not specified,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/u/n/z/wireless-compact-tws-white-bluetooth-earbuds-with-cover-blk-case-original-imahkqbdnvmjwdtf.jpeg?q=70
c73dc141-8695-4a73-b302-1e234c92916d,"TRIGGR Apex S2 2025, Dual Pairing, 60H Battery, Preset ...",Earbuds,Unknown,Flipkart,₹ 799.00,₹ 3999.00,0% off,3.9,17479,Not specified,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/d/o/q/-original-imahfvv6gmzy5fy4.jpeg?q=70
db19d82a-f993-446e-a441-bac15e55adcb,"GOBOULT Z40 v2.0 70Hrs Battery Life, Legacy Continues, ...",Earbuds,Unknown,Flipkart,₹ 899.00,₹ 5499.00,0% off,4.1,213964,Not specified,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/a/u/d/-original-imahgxndggyxenhg.jpeg?q=70
dc1e14ce-8623-4976-80f5-0d983ed5633c,Aroma NB126 Blaze 32dB Active Noise Cancellation 60H* F...,Earbuds,Unknown,Flipkart,₹ 499.00,₹ 3299.00,0% off,3.8,69903,Not specified,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/i/f/a/nb126-blaze-32db-active-noise-cancellation-60h-fast-charging-original-imahh596ysg8hmzk.jpeg?q=70
23b15ca0-1e7e-4350-b213-e0d9dec897ee,RAJIBNEW EARPHONES 25H Play Type-C Fas Charge SERVICE v...,Earbuds,Unknown,Flipkart,₹ 495.00,₹ 1000.00,0% off,0.0,0,Not specified,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/j/e/0/eerpods-pro-25h-play-type-c-fas-charge-wornder-243-bluetooth-original-imahf89agxxfxpzz.jpeg?q=70
4da6db36-eb14-4e47-8547-03c97435ce52,spellcell Latest Black Earbuds With Premium Quality Sou...,Earbuds,Unknown,Flipkart,₹ 269.00,₹ 949.00,0% off,3.6,10055,Not specified,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/j/e/t/black-earbuds-with-premium-quality-sound-hectic-original-imahdbptpvnn2hyy.jpeg?q=70
d2993a30-2f54-4d23-ba8a-7e72f21f3285,"Noise Buds F1, 50H playtime, Matte finish Case, Quad Mi...",Earbuds,Noise,Flipkart,₹ 899.00,₹ 3499.00,0% off,3.9,19272,Not specified,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/b/u/k/-original-imahhmyfmgwadzez.jpeg?q=70
456f7272-d8ac-42c2-9705-c49123b2d8ba,"Noise Buds VS102 with 50 Hrs Playtime, 11mm Driver, IPX...",Earbuds,Noise,Flipkart,₹ 1199.00,₹ 2999.00,0% off,4.0,688139,Not specified,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/d/q/r/-original-imagp6skt77zsdjt.jpeg?q=70
e2faf503-b587-4762-a1a9-9e5b5f9aae57,"truke Buds Lite with 60H Playtime, Deep Bass, 13mm Spea...",Earbuds,Unknown,Flipkart,₹ 649.00,₹ 2499.00,0% off,4.0,4592,Not specified,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/o/f/d/-original-imahgbn7hzywq3gm.jpeg?q=70
ca268581-cec2-481e-8668-60f5a4c19502,"boAt Airdopes 161/163,ASAP Charge,40 H Battery, Stream ...",Earbuds,boAt,Flipkart,₹ 899.00,₹ 2490.00,0% off,4.0,1530080,Not specified,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/u/n/8/-original-imahgnf4rwhaefft.jpeg?q=70
78316150-5cbf-4465-8e9e-31781ce5cd29,"Boat Nirvana Ion, 120HRS Battery, Crystal Bionic Sound w/Dual EQ Modes, 4Mics ENx, App Support, Low Latency, IPX4, v.5.2 Bluetooth Earbuds, TWS Ear Buds Wireless Earphones with mic (Charcoal Black)",Earbuds,Boat,Amazon,₹ 1499.00,₹ 7990.00,(81% off),4.0,0,Not specified,https://m.media-amazon.com/images/I/81-TGXuOMAL._AC_UY654_FMwebp_QL65_.jpg
ecbba700-d767-43a5-9f8a-86ff6c38dfcb,"Fire-Boltt Aero TWS Earbuds Custom EQ, Wireless Bluetooth 5.4, Music & App Support, 50H Playtime, Fast Charging Case, 50ms Low Latency for Gaming, Touch Controls, IPX4 Waterproof, Clear Calls - Black",Earbuds,Unknown,Amazon,₹ 749.00,₹ 8999.00,(92% off),3.9,0,Not specified,https://m.media-amazon.com/images/I/61IyZTvsfmL._AC_UY654_FMwebp_QL65_.jpg
e90936a4-d854-4ca6-8ea9-f4e6a8b32ea3,"Boat 2025 Launch Airdopes Plus 311, Glass Design, ENx Tech, Fast Charge, 50 Hrs Battery, Stream Ad Free Music via App Support Bluetooth Earbuds, TWS Ear Buds Wireless Earphones with mic (Crimson Red)",Earbuds,Boat,Amazon,₹ 899.00,₹ 3990.00,(77% off),3.7,1,Not specified,https://m.media-amazon.com/images/I/61OhaIzbpML._AC_UY654_FMwebp_QL65_.jpg
